missing_ratio,method,scale,bucket,group,channels,eval_points,rmse,mae,crps,model_kind,protocol_key,mask_family,severity,requested_missing_ratio,actual_missing_ratio
0.1,csdi,original,nominal,differenced,8,9647,2.382821119142121e-07,5.835710086120285e-09,5.513341812237624e-09,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,nominal,non_differenced,68,81660,0.029075565092870993,0.0037611379592034267,0.0032541041865301536,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,update,all_channels,76,47310,0.03820457452519728,0.006183110512363618,0.005367989197354083,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,update,continuous,44,20671,0.010165158453888415,0.001086679004892115,0.0009286645479331839,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,update,discrete_like,32,26639,0.05011988191514711,0.010137776066286193,0.008812761141803177,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,update,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,update,differenced,8,2043,2.872530849812826e-07,1.1014512153030545e-08,1.0472419584534973e-08,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,csdi,original,update,non_differenced,68,45267,0.03905718913587378,0.006462167491489925,0.005610257970081261,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,all,all_channels,76,93440,0.8842419889589834,0.22408159012712275,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,all,continuous,44,54041,0.18743644204940824,0.02993916861449999,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,all,discrete_like,32,39399,1.3439320879529848,0.49037389706292434,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,all,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,all,differenced,8,9647,0.11458136369852333,0.0023548753754943155,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,all,non_differenced,68,83793,0.9329468638225766,0.24960875369936578,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,anomaly_rare,all_channels,76,2133,1.8746236903251519,0.14721667201228114,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,anomaly_rare,continuous,44,1618,0.45866992490542,0.040191168467455504,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,anomaly_rare,discrete_like,32,515,3.7274699647737655,0.48346378800359746,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,anomaly_rare,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,anomaly_rare,differenced,8,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,anomaly_rare,non_differenced,68,2133,1.8746236903251519,0.14721667201228114,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,held,all_channels,76,46130,0.35063920917744656,0.009555374534510119,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,held,continuous,44,33370,0.10198523622160986,0.007302976600981519,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,held,discrete_like,32,12760,0.6459727888486014,0.015445854083244394,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,held,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,held,differenced,8,7604,0.00023006624084210103,1.5821892883028954e-05,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,held,non_differenced,68,38526,0.38368536126807745,0.011438226589925484,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,nominal,all_channels,76,91307,0.8473810310688018,0.2258772122699035,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,nominal,continuous,44,52423,0.1724052833117709,0.02962274766921902,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,nominal,discrete_like,32,38884,1.2829868549413952,0.4904654181582299,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,nominal,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,nominal,differenced,8,9647,0.11458136369852333,0.0023548753754943155,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,nominal,non_differenced,68,81660,0.8951714025496865,0.2522832860394402,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,update,all_channels,76,47310,1.193475943497369,0.43325712025166346,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,update,continuous,44,20671,0.2739659333426517,0.06648165467928926,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,update,discrete_like,32,26639,1.5720748074659971,0.7178629856687793,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,update,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,update,differenced,8,2043,0.24898618587799445,0.011060779715504824,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,normalized,update,non_differenced,68,45267,1.2189637150945414,0.45231177648502047,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,all,all_channels,76,93440,0.03558904982784067,0.004927881327364048,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,all,continuous,44,54041,0.010819259369470704,0.0010169980053656893,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,all,discrete_like,32,39399,0.0533226646638277,0.010292181071116764,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,all,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,all,differenced,8,9647,1.5616013086646755e-07,3.1959005816835175e-09,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,all,non_differenced,68,83793,0.037581917797711493,0.00549522275605413,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,anomaly_rare,all_channels,76,2133,0.024545844243422304,0.0020288899733562266,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,anomaly_rare,continuous,44,1618,0.026660640691680733,0.002009399884526603,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,anomaly_rare,discrete_like,32,515,0.0161948931565543,0.0020901229126306558,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,anomaly_rare,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,anomaly_rare,differenced,8,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,anomaly_rare,non_differenced,68,2133,0.024545844243422304,0.0020288899733562266,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,held,all_channels,76,46130,0.009564414041191478,0.0004561778590519283,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,held,continuous,44,33370,0.01111117223548434,0.0005912090324821403,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,held,discrete_like,32,12760,0.0028006165657413137,0.00010304382634298034,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,held,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,held,differenced,8,7604,2.773490676316873e-10,1.6545842133710936e-11,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,held,non_differenced,68,38526,0.010465816973325803,0.000546215140742638,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,nominal,all_channels,76,91307,0.03580633912397906,0.0049956039403636415,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,nominal,continuous,44,52423,0.009936357446605008,0.0009863682021604714,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,nominal,discrete_like,32,38884,0.0536422510936798,0.01040081341222417,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,nominal,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,nominal,differenced,8,9647,1.5616013086646755e-07,3.1959005816835175e-09,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,nominal,non_differenced,68,81660,0.03786232418299017,0.005585765101052292,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,update,all_channels,76,47310,0.0491159206627084,0.009288052145436754,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,update,continuous,44,20671,0.010330621390158728,0.0017043657194420866,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,update,discrete_like,32,26639,0.06481886126003247,0.015172746845378038,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,update,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,update,differenced,8,2043,3.393372847217637e-07,1.5029387221076796e-08,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,forward_fill,original,update,non_differenced,68,45267,0.05021204467651198,0.009707241838327585,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,all,all_channels,76,93440,0.6543912511790023,0.20096760785441578,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,all,continuous,44,54041,0.0891546952573082,0.01825777927985705,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,all,discrete_like,32,39399,1.0023458836701544,0.4515785839197405,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,all,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,all,differenced,8,9647,0.08177990668107163,0.0018728866074954437,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,all,non_differenced,68,83793,0.6904776329849418,0.22388917380704954,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,anomaly_rare,all_channels,76,2133,0.6403387681243751,0.06204906444816705,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,anomaly_rare,continuous,44,1618,0.05910753146918079,0.012282016112645271,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,anomaly_rare,discrete_like,32,515,1.2989533920112175,0.21840456776248598,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,anomaly_rare,near_constant,0,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,anomaly_rare,differenced,8,0,,,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,anomaly_rare,non_differenced,68,2133,0.6403387681243751,0.06204906444816705,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,held,all_channels,76,46130,0.0790270078896129,0.005929903688105887,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
0.1,linear_interpolation,normalized,held,continuous,44,33370,0.04036008159073411,0.005313459548631452,,random_csdi,random_missing_10,random,10%,0.1,0.10005482456140351
