missing_ratio,method,scale,bucket,channel,eval_points,rmse,mae,crps,crps_scaled_by_abs_target,value_type,near_constant,differenced
0.08,linear_interpolation,original,all,channel_31,976,0.001268237068052661,0.00039970810662527553,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_32,963,0.0014629869808506883,0.00046285222500160354,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_33,896,0.0014231800521274306,0.0004445684275456837,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_34,992,0.0011665979466802465,0.00038597904025546964,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_35,998,0.0012074083107402062,0.00040047532152795125,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_36,1024,0.0010948274057055176,0.0003505529020912945,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_37,952,0.001638597437738745,0.0004893206999081524,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_38,946,0.0013407408354498263,0.00042908715899348513,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_39,1005,0.0010757295538162072,0.0003247915808834247,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_40,1000,0.0016769041655264418,0.00045934325456619264,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_41,1015,0.002856168596874118,0.0012206859189301288,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_42,920,0.0035417224085915245,0.0026867464184761047,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_43,1005,0.0013993304012232019,0.0010786012334017018,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_44,947,0.004571509728833068,0.002529780961643932,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_45,971,0.0024562223316182503,0.0013315461875235874,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_46,948,0.003671986243636752,0.0027225868548522015,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_47,998,4.350856411828977e-06,1.80700014182973e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_48,1011,4.057025096371019e-06,1.7586015174064037e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_49,1009,3.64223985730941e-06,1.6496418001512353e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_50,970,0.000934508601228165,0.0002912522591266435,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_51,979,0.0008338565915566273,0.00028797713193026454,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_52,1041,0.0009201229066623942,0.0002951420464272916,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_53,939,0.17036529073050383,0.0824123190614743,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_54,936,0.09730437144061355,0.05083179040851756,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_55,962,0.14107585779264328,0.06960880161570908,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_56,939,0.11175001551615983,0.06988688462331526,,,discrete_like,False,False
0.08,linear_interpolation,original,all,channel_57,933,0.0012967641655119407,0.0006440541240818887,,,continuous,False,False
0.08,linear_interpolation,original,all,channel_58,970,0.0016559903775295746,0.0007030831784317174,,,continuous,False,False
