missing_ratio,method,scale,bucket,group,channels,eval_points,rmse,mae,crps
0.05,csdi,original,all,all_channels,76,46720,0.04058085222550618,0.0043763816337990475,0.00372434234574791
0.05,csdi,original,all,continuous,44,26972,0.04089529603398932,0.002624661505665244,0.0022123954200478795
0.05,csdi,original,all,discrete_like,32,19748,0.04014740322831101,0.0067688970933911545,0.005789373360533267
0.05,csdi,original,all,near_constant,0,0,,,
0.05,csdi,original,all,differenced,8,4973,2.1219643655174312e-07,6.808219765819728e-09,5.932063498889262e-09
0.05,csdi,original,all,non_differenced,68,41747,0.0429299066748654,0.0048977056093567105,0.004167993985033429
0.05,csdi,original,anomaly_rare,all_channels,76,1079,0.1983625133789039,0.044711982348111245,0.03665112118249081
0.05,csdi,original,anomaly_rare,continuous,44,809,0.21661519776608826,0.04832701448567571,0.03943907928919022
0.05,csdi,original,anomaly_rare,discrete_like,32,270,0.12904405717197565,0.03388027494333477,0.028297572633158123
0.05,csdi,original,anomaly_rare,near_constant,0,0,,,
0.05,csdi,original,anomaly_rare,differenced,8,0,,,
0.05,csdi,original,anomaly_rare,non_differenced,68,1079,0.1983625133789039,0.044711982348111245,0.03665112118249081
0.05,csdi,original,held,all_channels,76,23183,0.04208311452825916,0.0024829012531272536,0.0020843969594622883
0.05,csdi,original,held,continuous,44,16747,0.04789506983379121,0.0030831420947979044,0.0025769053504606913
0.05,csdi,original,held,discrete_like,32,6436,0.020254180913604203,0.0009210253402219737,0.0008028497214184331
0.05,csdi,original,held,near_constant,0,0,,,
0.05,csdi,original,held,differenced,8,3968,2.3755351844367446e-07,8.514243964139786e-09,7.417932676805174e-09
0.05,csdi,original,held,non_differenced,68,19215,0.04622452927414969,0.0029956318483855882,0.0025148345187019187
0.05,csdi,original,nominal,all_channels,76,45641,0.027486689204596394,0.003422806663331636,0.002945919557022516
0.05,csdi,original,nominal,continuous,44,26163,0.01652981079159027,0.0012114747411823682,0.0010612893763520044
0.05,csdi,original,nominal,discrete_like,32,19478,0.037460978659896685,0.0063930847760326984,0.005477369367931366
0.05,csdi,original,nominal,near_constant,0,0,,,
0.05,csdi,original,nominal,differenced,8,4973,2.1219643655174312e-07,6.808219765819728e-09,5.932063498889262e-09
0.05,csdi,original,nominal,non_differenced,68,40668,0.029118808483774,0.003841356473488795,0.0033061543474454825
0.05,csdi,original,update,all_channels,76,23537,0.03904472125422996,0.006241383768007568,0.005339622706835759
0.05,csdi,original,update,continuous,44,10225,0.025582843314086216,0.0018737397678726256,0.0016153834137094666
0.05,csdi,original,update,discrete_like,32,13312,0.04682677812639108,0.009596188448099199,0.008200225679508262
0.05,csdi,original,update,near_constant,0,0,,,
0.05,csdi,original,update,differenced,8,1005,1.2174900915567892e-10,7.239670233537504e-11,6.546739106697884e-11
0.05,csdi,original,update,non_differenced,68,22532,0.03990598262024108,0.006519769646495447,0.005577787128750157
0.05,forward_fill,normalized,all,all_channels,76,46720,0.7202621174069395,0.21599260585448093,
0.05,forward_fill,normalized,all,continuous,44,26972,0.19867748411227232,0.0280271694485656,
0.05,forward_fill,normalized,all,discrete_like,32,19748,1.083243457029372,0.4727175274030098,
0.05,forward_fill,normalized,all,near_constant,0,0,,,
0.05,forward_fill,normalized,all,differenced,8,4973,0.07886836285074962,0.0011568526928085537,
0.05,forward_fill,normalized,all,non_differenced,68,41747,0.7614686721061344,0.24158434179893196,
0.05,forward_fill,normalized,anomaly_rare,all_channels,76,1079,1.773523754910646,0.13365418645376348,
0.05,forward_fill,normalized,anomaly_rare,continuous,44,809,0.6727499800135999,0.049603616035968176,
0.05,forward_fill,normalized,anomaly_rare,discrete_like,32,270,3.3487005120032918,0.38549459929819463,
0.05,forward_fill,normalized,anomaly_rare,near_constant,0,0,,,
0.05,forward_fill,normalized,anomaly_rare,differenced,8,0,,,
0.05,forward_fill,normalized,anomaly_rare,non_differenced,68,1079,1.773523754910646,0.13365418645376348,
0.05,forward_fill,normalized,held,all_channels,76,23183,0.3232866487377694,0.007789286656252314,
0.05,forward_fill,normalized,held,continuous,44,16747,0.08956377102809757,0.006315669859335474,
0.05,forward_fill,normalized,held,discrete_like,32,6436,0.5963186126428448,0.011623758455190526,
0.05,forward_fill,normalized,held,near_constant,0,0,,,
0.05,forward_fill,normalized,held,differenced,8,3968,0.00021791085669982678,1.469536736324024e-05,
0.05,forward_fill,normalized,held,non_differenced,68,19215,0.35510139268507124,0.009394781229986993,
0.05,forward_fill,normalized,nominal,all_channels,76,45641,0.675782356761141,0.21793917028783222,
0.05,forward_fill,normalized,nominal,continuous,44,26163,0.16339659031197964,0.02735999260752975,
0.05,forward_fill,normalized,nominal,discrete_like,32,19478,1.0169752931374523,0.4739265933112306,
0.05,forward_fill,normalized,nominal,near_constant,0,0,,,
0.05,forward_fill,normalized,nominal,differenced,8,4973,0.07886836285074962,0.0011568526928085537,
0.05,forward_fill,normalized,nominal,non_differenced,68,40668,0.7153778935789228,0.24444793554307104,
0.05,forward_fill,normalized,update,all_channels,76,23537,0.9627098194436446,0.42106451575177745,
0.05,forward_fill,normalized,update,continuous,44,10225,0.30163692346632215,0.06358731452346049,
0.05,forward_fill,normalized,update,discrete_like,32,13312,1.2525218452525462,0.6956441718935699,
0.05,forward_fill,normalized,update,near_constant,0,0,,,
0.05,forward_fill,normalized,update,differenced,8,1005,0.17543962964708457,0.005666385296690486,
0.05,forward_fill,normalized,update,non_differenced,68,22532,0.9832477205757075,0.439592614504989,
0.05,forward_fill,original,all,all_channels,76,46720,0.03624509103533962,0.004873356153489961,
0.05,forward_fill,original,all,continuous,44,26972,0.009948092855291675,0.0009378105952331361,
0.05,forward_fill,original,all,discrete_like,32,19748,0.054523504268020766,0.010248560467714343,
0.05,forward_fill,original,all,near_constant,0,0,,,
0.05,forward_fill,original,all,differenced,8,4973,1.0692153815007366e-07,1.5584721520539781e-09,
