method,method_label,mask_family,mask_label,channel_index,channel,normalized_rmse,normalized_mae,evaluation_points
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,12,channel_13,0.6829553717724399,0.604105052654209,5916
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,13,channel_14,1.0370126378941031,0.7253459329968343,5916
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,14,channel_15,0.9946676441682626,0.7705226363710395,6324
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,15,channel_16,0.8129672068561868,0.6965874024334695,5916
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,16,channel_17,0.6775049393952282,0.5610853207429437,6460
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,17,channel_18,0.7350593874433842,0.5956327878605862,5916
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,18,channel_19,1.1532122404351677,0.8378783859486244,6528
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,19,channel_20,0.740695821857862,0.6519421344242633,6324
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,20,channel_21,1.1003665476389846,0.7955452696991049,5712
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,21,channel_22,1.010166422284801,0.9062735582510951,5916
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,22,channel_23,1.0376041892159236,0.8430928454899307,5712
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,23,channel_24,0.8237682481811937,0.7083893600321488,6596
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,24,channel_25,0.7895515053835791,0.6608346046665338,5780
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,25,channel_26,0.7210730927941491,0.609397860406663,6324
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,26,channel_27,0.7535765029705911,0.6537751357213131,6528
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,27,channel_28,0.8768100489135965,0.6826820114892523,6528
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,28,channel_29,1.0012648147156231,0.81030569693723,5916
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,29,channel_30,1.0486103665952773,0.83655343882462,6052
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,30,channel_31,0.964436704881615,0.839545193101694,6528
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,31,channel_32,0.8698045998970279,0.7632809037090418,5440
raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,32,channel_33,0.794344576011783,0.6785985237387747,6188
