window_index,window_start,method,method_label,mask_family,mask_label,normalized_rmse,normalized_mae,evaluation_points
4,5937713,global_mean,零值基线,channel_dropout_50,通道丢失 50%,0.9041091391714257,0.7716335032511555,3648
4,5937713,raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,0.8494813244127358,0.6615189647362201,3672
4,5937713,diff_pearson,一阶差分 Pearson Top-8,rectangle_50,矩形缺失 50%,0.898164219775201,0.7135752171668652,3672
4,5937713,spearman,Spearman Top-8,rectangle_50,矩形缺失 50%,0.8317247428246571,0.6557098340922659,3672
4,5937713,random,随机 Top-8,rectangle_50,矩形缺失 50%,0.9158144019403913,0.7516270077438953,3672
4,5937713,shuffled,打乱原值图,rectangle_50,矩形缺失 50%,0.8867595128070012,0.6860325969794009,3672
4,5937713,global_mean,零值基线,rectangle_50,矩形缺失 50%,0.9670294022592334,0.809265017886023,3672
4,5937713,raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,0.9335114735120813,0.7645389040791427,3648
4,5937713,diff_pearson,一阶差分 Pearson Top-8,time_block_50,时间块缺失 50%,0.9400705749711051,0.768912289422872,3648
4,5937713,spearman,Spearman Top-8,time_block_50,时间块缺失 50%,0.933266458899134,0.7638098364237194,3648
4,5937713,random,随机 Top-8,time_block_50,时间块缺失 50%,0.9503835228380382,0.7793471185737271,3648
4,5937713,shuffled,打乱原值图,time_block_50,时间块缺失 50%,0.9537930492368707,0.778470514093111,3648
4,5937713,global_mean,零值基线,time_block_50,时间块缺失 50%,0.9309685798485369,0.7623974075967086,3648
5,5949310,raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.7261907644831591,0.4738072711441257,3648
5,5949310,diff_pearson,一阶差分 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.6335341715001127,0.4018148134533226,3648
5,5949310,spearman,Spearman Top-8,channel_dropout_50,通道丢失 50%,0.6609148165891561,0.4401651980801484,3648
5,5949310,random,随机 Top-8,channel_dropout_50,通道丢失 50%,0.841357228426164,0.6291594397960606,3648
5,5949310,shuffled,打乱原值图,channel_dropout_50,通道丢失 50%,0.7256036156573968,0.4525909595903436,3648
5,5949310,global_mean,零值基线,channel_dropout_50,通道丢失 50%,0.8831740945956461,0.7121425563540182,3648
5,5949310,raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,0.9670259820225966,0.6842821583706871,3672
5,5949310,diff_pearson,一阶差分 Pearson Top-8,rectangle_50,矩形缺失 50%,0.9201696972042985,0.6769978873676343,3672
5,5949310,spearman,Spearman Top-8,rectangle_50,矩形缺失 50%,0.8992581151344646,0.6589345776250117,3672
5,5949310,random,随机 Top-8,rectangle_50,矩形缺失 50%,0.9962954153051773,0.7871520155962355,3672
5,5949310,shuffled,打乱原值图,rectangle_50,矩形缺失 50%,0.9434244048788927,0.7351922695556011,3672
5,5949310,global_mean,零值基线,rectangle_50,矩形缺失 50%,0.9920006617115728,0.8210090438935768,3672
5,5949310,raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,0.9242618301378265,0.7516961022437638,3648
5,5949310,diff_pearson,一阶差分 Pearson Top-8,time_block_50,时间块缺失 50%,0.9309656542751527,0.7556702565441622,3648
5,5949310,spearman,Spearman Top-8,time_block_50,时间块缺失 50%,0.9226855349962171,0.7497452018210131,3648
5,5949310,random,随机 Top-8,time_block_50,时间块缺失 50%,0.9425663853112345,0.7676458708045092,3648
5,5949310,shuffled,打乱原值图,time_block_50,时间块缺失 50%,0.9447881758374969,0.7657081762941162,3648
5,5949310,global_mean,零值基线,time_block_50,时间块缺失 50%,0.9216055602780261,0.749279910092315,3648
6,5960906,raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.6458593480903927,0.39789220612791043,3648
6,5960906,diff_pearson,一阶差分 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.6651787636167963,0.41739459418910285,3648
6,5960906,spearman,Spearman Top-8,channel_dropout_50,通道丢失 50%,0.647322263561936,0.406080410548563,3648
6,5960906,random,随机 Top-8,channel_dropout_50,通道丢失 50%,0.7579132597996817,0.5280397215328022,3648
6,5960906,shuffled,打乱原值图,channel_dropout_50,通道丢失 50%,0.8167686911861337,0.5750709574873121,3648
6,5960906,global_mean,零值基线,channel_dropout_50,通道丢失 50%,0.8999272622190488,0.712841656681153,3648
6,5960906,raw_pearson,原值 Pearson Top-8,rectangle_50,矩形缺失 50%,0.9974810439556673,0.6149152643571496,3672
6,5960906,diff_pearson,一阶差分 Pearson Top-8,rectangle_50,矩形缺失 50%,0.9780270200603989,0.679318306146313,3672
6,5960906,spearman,Spearman Top-8,rectangle_50,矩形缺失 50%,0.7929285809834481,0.5633490587757535,3672
6,5960906,random,随机 Top-8,rectangle_50,矩形缺失 50%,0.9438637871214315,0.7190285047863295,3672
6,5960906,shuffled,打乱原值图,rectangle_50,矩形缺失 50%,0.9499114498024147,0.710872295735616,3672
6,5960906,global_mean,零值基线,rectangle_50,矩形缺失 50%,0.9504662129573083,0.7742330849399212,3672
6,5960906,raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,0.9650744215435583,0.7831204929715898,3648
6,5960906,diff_pearson,一阶差分 Pearson Top-8,time_block_50,时间块缺失 50%,0.9711870565318825,0.7872171624813367,3648
6,5960906,spearman,Spearman Top-8,time_block_50,时间块缺失 50%,0.9637072346649963,0.7811824712873771,3648
6,5960906,random,随机 Top-8,time_block_50,时间块缺失 50%,0.9827082423116524,0.7987991970014665,3648
6,5960906,shuffled,打乱原值图,time_block_50,时间块缺失 50%,0.9862244398688886,0.7967435408803649,3648
6,5960906,global_mean,零值基线,time_block_50,时间块缺失 50%,0.9627684424739277,0.7806234060899602,3648
7,5972502,raw_pearson,原值 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.6441629047262847,0.3844532045029982,3648
7,5972502,diff_pearson,一阶差分 Pearson Top-8,channel_dropout_50,通道丢失 50%,0.7568346478201458,0.5002873511687321,3648
7,5972502,spearman,Spearman Top-8,channel_dropout_50,通道丢失 50%,0.6921153637243329,0.42019565979355084,3648
