channel_id,channel,horizon_steps,window_minutes,missing_ratio,method,spectral_cosine,dominant_peak_preserved,high_frequency_inflation
12,channel_12,96,48.0,0.5,zero,0.8374666562479758,False,-0.05294632743954276
12,channel_12,96,48.0,0.5,zero,0.9473445598020518,False,-0.023040480722939974
12,channel_12,96,48.0,0.5,zero,0.7640257178699276,False,-0.06735031897242881
12,channel_12,96,48.0,0.5,zero,0.8009788631384515,True,-0.046688781247851
12,channel_12,96,48.0,0.5,zero,0.7858405967558186,False,-0.04050696728815284
12,channel_12,96,48.0,0.5,zero,0.5288766759419326,False,-0.09868651053623412
12,channel_12,96,48.0,0.5,zero,0.9077793765194795,False,-0.03514177221026704
12,channel_12,96,48.0,0.5,zero,0.749695827446885,True,0.002556624131433691
12,channel_12,96,48.0,0.5,zero,0.7190284262129002,False,-0.04438888597295672
12,channel_12,96,48.0,0.5,zero,0.8508927780437386,False,-0.05672264078186218
12,channel_12,96,48.0,0.5,zero,0.8890248017600579,False,-0.031442389625329546
12,channel_12,96,48.0,0.5,zero,0.9276657949185667,False,-0.04500791502537761
12,channel_12,96,48.0,0.5,zero,0.8480037545712106,False,-0.04838757304691297
12,channel_12,96,48.0,0.5,zero,0.8200275043611491,False,-0.06383477225223598
12,channel_12,96,48.0,0.5,zero,0.8759605430922364,False,-0.04705668736795564
12,channel_12,96,48.0,0.5,zero,0.6695268645180892,False,-0.08427615031609077
12,channel_12,96,48.0,0.5,zero,0.6727395210533549,False,-0.056050008715709844
12,channel_12,96,48.0,0.5,zero,0.6032677472455968,False,-0.07873268944148691
12,channel_12,96,48.0,0.5,zero,0.7693533502465609,False,-0.06078229964251963
12,channel_12,96,48.0,0.5,zero,0.8091402943927278,False,-0.0644299590516136
12,channel_12,96,48.0,0.5,zero,0.9534990588863271,True,-0.04746503151281618
12,channel_12,96,48.0,0.5,zero,0.8679595743639656,False,-0.02789560351182481
12,channel_12,96,48.0,0.5,zero,0.9240379601405795,False,-0.05082398900583141
12,channel_12,96,48.0,0.5,zero,0.7072617084884021,False,-0.04343621595647834
12,channel_12,96,48.0,0.5,zero,0.922498202406286,False,-0.033157432717304744
12,channel_12,96,48.0,0.5,zero,0.9529750512997016,False,-0.04793720771852072
12,channel_12,96,48.0,0.5,zero,0.8588031238601014,False,-0.04873905127468089
12,channel_12,96,48.0,0.5,zero,0.8741504914150349,True,-0.03881922571591748
12,channel_12,96,48.0,0.5,zero,0.6826566812772605,True,0.00801529805762539
12,channel_12,96,48.0,0.5,zero,0.6869697551824697,False,-0.05735945140519637
12,channel_12,96,48.0,0.5,zero,0.7752148769422471,False,-0.052055624225614314
12,channel_12,96,48.0,0.5,zero,0.7166057032554592,False,-0.04923338937425817
12,channel_12,96,48.0,0.5,zero,0.8573448703216094,True,-0.03112385383594849
12,channel_12,96,48.0,0.5,zero,0.7569029768828069,False,-0.056757275422287756
12,channel_12,96,48.0,0.5,zero,0.8615141475460238,False,-0.05663888738381131
12,channel_12,96,48.0,0.5,zero,0.9001880435676227,True,-0.043407709460511396
12,channel_12,96,48.0,0.5,zero,0.8732401987024441,True,-0.050506075476528633
12,channel_12,96,48.0,0.5,zero,0.9457992950511276,False,-0.041248273713484336
12,channel_12,96,48.0,0.5,zero,0.7160487921853889,False,-0.0555325277023906
12,channel_12,96,48.0,0.5,zero,0.9198318721381874,False,-0.048204326671315134
12,channel_12,96,48.0,0.5,zero,0.806216859743808,False,-0.05698961162375191
12,channel_12,96,48.0,0.5,zero,0.783335814015276,False,-0.060619944352071166
12,channel_12,96,48.0,0.5,zero,0.6594852181433916,False,-0.06707690316691578
12,channel_12,96,48.0,0.5,zero,0.7430140404695725,False,-0.05519680532024611
12,channel_12,96,48.0,0.5,zero,0.6566689552627679,False,-0.060745468840478906
12,channel_12,96,48.0,0.5,zero,0.7135523560309841,False,-0.054516208222333176
12,channel_12,96,48.0,0.5,linear,0.788231677501108,True,-0.0506740146826205
12,channel_12,96,48.0,0.5,linear,0.3494172198007681,False,-0.07010313154334777
12,channel_12,96,48.0,0.5,linear,0.7915588337668036,False,-0.02162628274199692
12,channel_12,96,48.0,0.5,linear,0.9978988214519285,False,0.006138457861109427
12,channel_12,96,48.0,0.5,linear,0.891310215935143,False,-0.019762404710875855
12,channel_12,96,48.0,0.5,linear,0.5228458906806355,False,-0.03838331427778995
12,channel_12,96,48.0,0.5,linear,0.8268924384959521,False,-0.023444488341589936
12,channel_12,96,48.0,0.5,linear,0.8883820880734487,False,-0.033697238389507965
12,channel_12,96,48.0,0.5,linear,1.0000000000000002,True,0.0
12,channel_12,96,48.0,0.5,linear,0.3766963088894512,False,-0.07220159590040101
12,channel_12,96,48.0,0.5,linear,0.5129473088088373,False,-0.03872260344458402
12,channel_12,96,48.0,0.5,linear,0.8068439571226549,False,-0.04559437095114347
12,channel_12,96,48.0,0.5,linear,0.40877669865222777,True,-0.07691992321096515
12,channel_12,96,48.0,0.5,linear,0.9999999999999997,True,0.0
12,channel_12,96,48.0,0.5,linear,0.7658423436911391,False,-0.042399532653317695
12,channel_12,96,48.0,0.5,linear,0.844984055927607,False,-0.027859366990477342
12,channel_12,96,48.0,0.5,linear,0.9063350535300271,False,-0.0037196913300899526
12,channel_12,96,48.0,0.5,linear,0.9276115222683934,True,0.013183948128414225
12,channel_12,96,48.0,0.5,linear,0.8790800702270349,False,-0.03225827165462008
12,channel_12,96,48.0,0.5,linear,0.9069161720389397,True,-0.022219686114550143
12,channel_12,96,48.0,0.5,linear,0.8527077312093065,False,-0.02493454745473425
12,channel_12,96,48.0,0.5,linear,0.3665210617449268,False,-0.09766727017957795
12,channel_12,96,48.0,0.5,linear,0.9593167473074065,True,-0.021163197307988414
12,channel_12,96,48.0,0.5,linear,0.9999999999999996,True,0.0
12,channel_12,96,48.0,0.5,linear,0.6463174187942938,False,-0.027643317047652837
12,channel_12,96,48.0,0.5,linear,0.961405296133233,False,-0.009179225541273713
12,channel_12,96,48.0,0.5,linear,0.21994129864146394,False,-0.04579798991669215
